bl.name,map.name
"Congo","Republic of Congo"
"Cote dIvoire","Ivory Coast"
"United Republic of Tanzania","Tanzania"
"Dominican Rep.","Dominican Republic"
"Trinidad and Tobago","Trinidad"
"Iran (Islamic Republic of)","Iran"
"Republic of Korea","South Korea"
"Syrian Arab Republic","Syria"
"United Kingdom","UK"
"Libyan Arab Jamahiriya","Libya"
"Brunei Darussalam","Brunei"
"Russian Federation","Russia"
"Lao People's Democratic Republic","Laos"
"Viet Nam","Vietnam"
"Republic of Moldova","Moldova"
"China, Hong Kong Special Administrative Region","Hong Kong"
"China, Macao Special Administrative Region","Macao"
